Date,Time,Ping [ms],Download [Mbit/s],Upload [Mbit/s]
2017-06-30,22:25:51,53.092,8.69,5.66
2017-06-30,22:31:17,51.76,0.82,5.51
2017-06-30,22:36:40,44.581,15.93,5.59
2017-06-30,22:42:04,41.818,7.13,5.41
2017-06-30,22:47:28,44.385,5.88,5.45
2017-06-30,22:52:56,61.693,1.75,4.97
2017-06-30,22:58:26,55.771,1.55,5.7
2017-06-30,23:03:49,43.31,10.74,5.63
2017-06-30,23:09:14,58.863,7.4,5.18
2017-06-30,23:14:38,49.268,8.21,5.44
2017-06-30,23:20:01,50.697,12.83,5.54
2017-06-30,23:25:25,48.873,14.02,5.52
2017-06-30,23:30:48,45.284,10.45,5.49
2017-06-30,23:36:12,51.507,13.82,5.39
2017-06-30,23:41:36,55.294,9.05,5.02
2017-06-30,23:47:00,40.517,6.98,5.47
2017-06-30,23:52:24,46.982,7.06,5.52
2017-06-30,23:57:48,44.438,14.02,5.14
2017-07-01,00:03:12,52.833,12,5.67
2017-07-01,00:08:36,41.52,15.07,5.18
2017-07-01,00:13:59,43.119,15.68,5.33
2017-07-01,00:19:22,55.016,16.04,5.7
2017-07-01,00:24:45,40.74,13.79,5.7
2017-07-01,00:30:11,48.851,9.17,5.08
2017-07-01,00:35:35,46.598,14.08,5.53
2017-07-01,00:40:59,35.333,15.01,5.3
2017-07-01,00:46:22,48.27,15.31,5.49
2017-07-01,00:51:45,59.321,15.73,5.74
2017-07-01,00:57:09,55.187,11.39,5.48
2017-07-01,01:02:33,56.455,15.28,5.57
2017-07-01,01:07:57,56.016,9.5,5.49
2017-07-01,01:13:20,46.131,16.2,5.42
2017-07-01,01:18:44,51.672,15.9,5.4
2017-07-01,01:24:07,45.179,16.07,5.62
2017-07-01,01:29:30,41.069,17.06,5.5
2017-07-01,01:34:54,44.11,15.09,5.49
2017-07-01,01:40:18,48.521,16.42,5.32
2017-07-01,01:45:42,40.963,16.21,5.16
2017-07-01,01:51:05,49.716,16.1,5.42
2017-07-01,01:56:29,56.141,16.57,5.49
2017-07-01,02:01:51,52.166,16.27,5.58
2017-07-01,02:07:14,50.55,16.21,5.69
2017-07-01,02:12:37,49.608,15.99,5.71
2017-07-01,02:18:01,46.099,13.92,5.64
2017-07-01,02:23:24,51.815,15.1,5.72
2017-07-01,02:28:47,38.589,15.81,5.6
2017-07-01,02:34:10,45.603,16.41,5.39
2017-07-01,02:39:33,48.099,16.42,5.9
2017-07-01,02:44:56,54.368,15.71,5.74
2017-07-01,02:50:19,47.686,16.67,5.51
2017-07-01,02:55:42,43.184,16.13,5.87
2017-07-01,03:01:05,60.564,16.16,5.6
2017-07-01,03:06:28,45.107,16.44,5.6
2017-07-01,03:11:52,47.466,16.33,5.43
2017-07-01,03:17:15,43.675,16.48,5.65
2017-07-01,03:22:39,46.109,16.34,5.54
2017-07-01,03:28:02,44.567,14.51,5.65
2017-07-01,03:33:26,64.29,15.74,5.1
2017-07-01,03:38:49,48.443,16.09,5.58
2017-07-01,03:44:12,43.084,16.16,5.58
2017-07-01,03:49:35,44.298,16.42,5.83
2017-07-01,03:54:58,38.27,16.38,5.52
2017-07-01,04:00:22,43.562,15.81,5.4
2017-07-01,04:05:45,49.937,16.1,5.51
2017-07-01,04:11:09,47.476,16.2,5.18
2017-07-01,04:16:33,51.414,16.6,5.16
2017-07-01,04:21:57,45.18,15.44,5.61
2017-07-01,04:27:20,48.648,16.71,5.45
2017-07-01,04:32:42,49.368,16.44,5.78
2017-07-01,04:38:06,42.856,15.84,5.35
2017-07-01,04:43:30,42.274,15.65,5.54
2017-07-01,04:48:53,49.711,16.41,5.31
2017-07-01,04:54:17,49.742,16.06,5.57
2017-07-01,04:59:41,41.429,16.49,5.2
2017-07-01,05:05:05,58.422,16.07,5.66
2017-07-01,05:10:29,197.074,15.64,5.66
2017-07-01,05:15:52,50.229,16.24,5.57
2017-07-01,05:21:15,43.018,15.98,5.45
2017-07-01,05:26:39,47,16.52,5.59
2017-07-01,05:32:01,46.714,17.27,5.48
2017-07-01,05:37:28,471.998,15.92,5.18
2017-07-01,05:42:51,44.531,16.09,5.74
2017-07-01,05:48:15,42.32,16.19,5.47
2017-07-01,05:53:38,43.583,15.86,5.34
2017-07-01,05:59:01,40.324,16.48,5.77
2017-07-01,06:04:24,47.027,16.32,5.59
2017-07-01,06:09:47,50.45,16.68,5.63
2017-07-01,06:15:10,50.296,16.07,5.63
2017-07-01,06:20:33,113.459,15.95,5.8
2017-07-01,06:25:57,51.962,16.09,5.42
2017-07-01,06:31:21,48.239,15.74,5.41
2017-07-01,06:36:44,50.046,16.36,5.7
2017-07-01,06:42:09,37.303,15.62,4.87
2017-07-01,06:47:32,45.664,16.67,5.68
2017-07-01,06:52:55,82.716,15.75,5.64
2017-07-01,06:58:19,53.235,16.22,4.96
2017-07-01,07:03:43,50.965,16.08,5.67
2017-07-01,07:09:06,47.857,16.68,5.21
2017-07-01,07:14:30,40.825,15.8,5.35
2017-07-01,07:19:52,43.641,16.92,5.85
2017-07-01,07:25:16,44.489,16.26,5.58
2017-07-01,07:30:39,43.948,16.42,5.51
2017-07-01,07:36:02,50.488,16.62,5.68
2017-07-01,07:41:26,43.286,16.7,5.44
2017-07-01,07:46:49,55.012,15.97,5.35
2017-07-01,07:52:12,48.75,16.15,5.65
2017-07-01,07:57:39,44.359,11.41,5.61
2017-07-01,08:03:03,56.442,13.26,5.52
2017-07-01,08:08:27,69.654,15.31,5.14
2017-07-01,08:13:51,51.236,14.14,5.51
2017-07-01,08:19:14,45.321,8.4,5.71
2017-07-01,08:24:38,58.889,17.55,5.45
2017-07-01,08:30:01,44.382,21.46,5.68
2017-07-01,08:35:25,186.216,11.58,5.5
2017-07-01,08:40:50,166.743,10.24,5.52
2017-07-01,08:46:14,55.156,9.83,5.57
2017-07-01,08:51:36,43.661,9.45,5.73
2017-07-01,08:57:03,51.872,7.34,5.57
2017-07-01,09:02:31,132.187,7.59,4.57
2017-07-01,09:07:55,233.091,6.32,5.81
2017-07-01,09:13:19,52.371,2.39,5.84
2017-07-01,09:18:44,47.878,3.34,5.34
2017-07-01,09:24:08,50.387,4.96,5.53
2017-07-01,09:29:33,50.607,5.69,5.34
2017-07-01,09:34:56,58.8,3.88,5.64
2017-07-01,09:40:20,65.467,3.51,5.32
2017-07-01,09:45:45,53.33,8.19,5.45
2017-07-01,09:51:10,49.369,10.44,5.49
2017-07-01,09:56:35,50.791,10.36,5.55
2017-07-01,10:02:04,204.411,4.05,5.67
2017-07-01,10:07:27,109.436,8.26,5.84
2017-07-01,10:12:51,49.082,8.67,5.71
2017-07-01,10:18:14,49.788,8.16,5.73
